,cmp_eff,trb_eff,pwr,V,p_min,PR,p_max,RTE,Heat_Util,E_in,E_out,Q_in,Q_out,T_out_min,Ebal,Qbal,T_h,m_dot_des
0,0.80000000000000004,0.88,10.0,8887.471556830902,1.2259912460479958,,45.595925573783013,56.56108597285068,59.79029970504083,73.66666666666666,41.666666666666664,72.37705935048251,43.274460703348765,-111.88859376036689,31.999999999999993,29.102598647133746,367.83174657479924,11.45060458709845
1,0.80000000000000004,0.88,10.0,20050.694811794288,4.5013610577178778,,80.074647755494141,47.853803654908624,44.84086019028239,392.16666666666663,187.66666666666666,387.21719068010145,173.63151910560347,-137.5921934392565,204.49999999999997,213.58567157449798,385.57134185941777,8.805587568267082
2,0.80000000000000004,0.88,10.0,1518.3183912289965,2.6660501915700241,,42.324946892911299,59.70149253731343,63.49332536759196,11.166666666666666,6.666666666666666,10.968926971179043,6.964536491144258,-106.66951394001637,4.5,4.004390480034784,371.9920978256789,11.894405575674398
3,0.80000000000000004,0.88,10.0,7593.7304006052218,4.8285977803001661,,60.49799144383551,51.89655172413793,50.6770595278201,96.66666666666666,50.166666666666664,95.28602388282764,48.288155044793434,-123.47763056226026,46.49999999999999,46.9978688380342,384.65435490983407,10.019779164134745
4,0.80000000000000004,0.88,10.0,9090.8974444475789,4.5289147705408954,,90.117947874665077,46.23233908948195,42.52395188512904,212.33333333333331,98.16666666666666,209.79157162542458,89.21166697705158,-143.14116336631366,114.16666666666666,120.579904648373,385.94278881913476,8.3497082361317
5,0.80000000000000004,0.88,10.0,6380.1664968120513,2.6178791831883483,,33.40292752202496,61.53846153846154,67.97509922938947,32.5,20.0,31.858329138176703,21.655730844501115,-92.3577584610349,12.5,10.202598293675589,369.4061075350104,13.359952124472528
6,0.80000000000000004,0.88,10.0,9304.0495186980916,2.3543537894981297,,84.850000360079548,47.28487886382623,44.51349716732041,199.5,94.33333333333333,196.99271132095367,87.68834497368039,-140.87877327920552,105.16666666666667,109.30436634727329,383.1242783268593,8.579126454022127
7,0.80000000000000004,0.88,10.0,19077.394678896122,2.242503807121969,,54.491250800976488,53.619729514717584,54.39754606422809,209.5,112.33333333333333,206.24314794402932,112.19121140716744,-119.27081369496975,97.16666666666667,94.05193653686187,378.4487099419176,10.518414404573958
8,0.80000000000000004,0.88,10.0,20676.543585275995,1.7146558690538045,,49.974096256530068,54.85762144053601,56.81839491819214,199.0,109.16666666666666,195.74025565965414,111.21647147458123,-115.20435344106437,89.83333333333334,84.52378418507291,375.2575964894977,10.95961940486008
9,0.80000000000000004,0.88,10.0,6336.7775811279434,3.1064465259739995,,15.501007461973714,72.22222222222221,89.8233627110339,9.0,6.5,8.74050094039049,7.851011862448278,-48.269258882727,2.5,0.889489077942212,336.4149161099257,20.124846995663546
10,0.80000000000000004,0.88,10.0,17262.802781657629,4.0643034462869245,,76.193556414616083,48.618490967056324,46.02332591505645,313.66666666666663,152.5,309.59968545919764,142.4880722708762,-135.30269092122327,161.16666666666663,167.11161318832146,384.8811291684576,9.006899399453792
11,0.80000000000000004,0.88,10.0,5639.8217612251274,4.0060684229920538,,29.746304119504199,63.12056737588653,69.96889933646963,23.5,14.833333333333332,23.025459017777496,16.110660241908807,-83.41668403218969,8.666666666666668,6.9147987758686895,373.8170437773191,14.171180413974733
12,0.80000000000000004,0.88,10.0,5395.2786489533664,1.7629593156459173,,17.468492450550144,71.9298245614035,91.07001144482724,9.5,6.833333333333333,9.221947667877574,8.398428796572086,-61.88399884704572,2.666666666666667,0.8235188713054882,323.66650295596605,18.85811683250768
13,0.80000000000000004,0.88,10.0,17827.137113769862,4.5063100350519454,,34.46745842605133,60.46099290780141,65.18931663706225,94.0,56.83333333333333,92.25453868223023,60.14010333362015,-91.66348726132011,37.16666666666667,32.11443534861009,379.0969555478481,13.1353435556938
14,0.80000000000000004,0.88,10.0,10650.60866084973,2.6274715040872865,,12.495699250710683,74.19354838709677,96.3558469924931,10.333333333333332,7.666666666666666,9.989380563849336,9.62535225160051,-40.80684151214419,2.666666666666666,0.36402831224882526,308.70160264441404,22.93196128034291
15,0.80000000000000004,0.88,10.0,8221.313602894108,2.7357063494840297,,33.864117071360255,61.08949416342413,67.12592061435355,42.83333333333333,26.166666666666664,41.997062782251255,28.190915023574192,-92.89100655558181,16.666666666666664,13.806147758677064,370.69940112125835,13.261711652535844
16,0.80000000000000004,0.88,10.0,7279.234359317923,1.8610842095997309,,69.708116462457269,50.07173601147776,48.69524607990878,116.16666666666666,58.166666666666664,114.55299788461963,55.78186421182822,-131.87451465365592,57.99999999999999,58.77113367279141,380.2283189018533,9.38204814174627
17,0.80000000000000004,0.88,10.0,10110.581944763451,4.3500928410994568,,29.617554571202238,63.2,70.21272002240262,41.666666666666664,26.333333333333332,40.83208714345937,28.669319025340585,-82.50769427519128,15.333333333333332,12.162768118118784,375.76005280318145,14.1924135878266
18,0.80000000000000004,0.88,10.0,22070.402993281667,2.8135236562215731,,12.120514023869362,72.72727272727273,94.03108188952739,20.166666666666664,14.666666666666666,19.495283061341908,18.331625580005568,-37.667881468129536,5.499999999999998,1.1636574813363403,309.9355922859189,23.311464037038263
19,0.80000000000000004,0.88,10.0,10180.892558676493,3.4166143809703664,,82.997792651259644,47.5098814229249,44.54272516241504,210.83333333333331,100.16666666666666,208.18629705184057,92.73185012161031,-139.55766635575222,110.66666666666666,115.45444693023026,384.47520162757064,8.664191804402272
