,p_in,t_in,p_out,m_dot,V1,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type,r1,r2,U2,psi,I,mu
0,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,3189.47368421,163285.313508,9.81,0.167767670793,16.8118182192,1.92810921246,0.519539710205,Radial,0.482027303115,0.964054606229,321.995109187,0.0177067778394,1.57488401158,0.818214782982
1,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,3884.21052632,163285.313508,9.81,0.204311123837,13.4890454726,1.54702795997,0.583435203568,Radial,0.386756989993,0.773513979986,314.629576787,0.0281485612,1.64948371502,0.962366867055
2,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,4578.94736842,163285.313508,9.81,0.240854576881,11.4343707482,1.31138198682,0.626898444182,Radial,0.327845496705,0.655690993409,314.407927525,0.0392012718292,1.65181021946,1.03551725667
3,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,5273.68421053,163285.313508,9.81,0.277398029925,9.82350494606,1.12663545002,0.66321080536,Radial,0.281658862506,0.563317725012,311.097237928,0.0536771060216,1.68715434188,1.11893898985
4,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,5968.42105263,163285.313508,9.81,0.313941482969,8.21263914388,0.941888913231,0.699523166537,Radial,0.235472228308,0.470944456615,294.345744141,0.0811698871589,1.88465387909,1.31835904933
5,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,6663.15789474,163285.313508,9.81,0.350484936013,7.26782521921,0.8335303521,0.729811646827,Radial,0.208382588025,0.41676517605,290.803845936,0.104908116408,1.93084242513,1.40915129005
6,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,7357.89473684,163285.313508,9.81,0.387028389057,6.48885487054,0.744192013681,0.75692238488,Radial,0.18604800342,0.372096006841,286.706274731,0.133488811069,1.9864275449,1.50357147468
7,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,8052.63157895,163285.313508,9.81,0.423571842101,6.02617156749,0.691127917494,0.777792068785,Radial,0.172781979373,0.345563958747,291.403583692,0.152279103723,1.92290286963,1.49561860104
8,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,8747.36842105,163285.313508,9.81,0.460115295145,5.56348826443,0.638063821307,0.798661752691,Radial,0.159515955327,0.319031910653,292.240337869,0.178149115584,1.91190716967,1.52696713111
9,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,9442.10526316,163285.313508,9.81,0.49665874819,5.2265663856,0.599423016964,0.810384428369,Radial,0.149855754241,0.299711508482,296.347232105,0.199060168471,1.85928246685,1.50673355908
10,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,10136.8421053,163285.313508,9.81,0.533202201234,4.89826137869,0.561770462072,0.821480372926,Radial,0.140442615518,0.280885231036,298.167431623,0.225254807206,1.83665132164,1.50877301264
11,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,10831.5789474,163285.313508,9.81,0.569745654278,4.56995637177,0.52411790718,0.832576317484,Radial,0.131029476795,0.26205895359,297.248307167,0.259582067156,1.84802713788,1.53862362907
12,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,11526.3157895,163285.313508,9.81,0.606289107322,4.24165136486,0.486465352289,0.843672262041,Radial,0.121616338072,0.243232676144,293.589858735,0.305075404248,1.89437094667,1.59822822172
13,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,12221.0526316,163285.313508,9.81,0.642832560366,4.01762658028,0.460772459032,0.85,Mixed,0.115193114758,0.230386229516,294.844987931,0.338598708805,1.87827693393,1.59653539384
14,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,12915.7894737,163285.313508,9.81,0.67937601341,3.93198881976,0.450950858962,0.85,Mixed,0.11273771474,0.225475429481,304.964156531,0.341778577363,1.75569684186,1.49234231558
15,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,13610.5263158,163285.313508,9.81,0.715919466454,3.84635105923,0.441129258892,0.85,Mixed,0.110282314723,0.220564629446,314.368777482,0.346482207881,1.65222166278,1.40438841337
16,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,14305.2631579,163285.313508,9.81,0.752462919498,3.76071329871,0.431307658821,0.85,Mixed,0.107826914705,0.215653829411,323.058850786,0.352692389945,1.56452978951,1.32985032108
17,1.01325,20.0,31.1,13.82,16.6472290221,3.0,3.13098696007,15000.0,163285.313508,9.81,0.789006372542,3.67507553819,0.421486058751,0.85,Mixed,0.105371514688,0.210743029376,331.034376441,0.360423042735,1.49005031323,1.26654276625
18,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,2494.73684211,122463.985131,9.81,0.162823859559,17.2613422752,2.12728752183,0.5108955556,Radial,0.531821880456,1.06364376091,277.875051158,0.0168558295925,1.58602225303,0.810291720156
19,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,3189.47368421,122463.985131,9.81,0.208167212854,13.1384243237,1.61917918518,0.590177497731,Radial,0.404794796294,0.809589592589,270.403655123,0.0298985199789,1.67487836332,0.988475521465
20,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,3884.21052632,122463.985131,9.81,0.253510566149,10.8764842158,1.34041772561,0.639474400067,Radial,0.335104431402,0.670208862805,272.609851042,0.0432743150867,1.64787891501,1.05377638056
21,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,4578.94736842,122463.985131,9.81,0.298853919444,8.87771149193,1.09408900988,0.684531013076,Radial,0.273522252471,0.547044504942,262.311257576,0.0675040503967,1.77981363164,1.21833762835
22,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,5273.68421053,122463.985131,9.81,0.344197272738,7.42886492135,0.91553318372,0.724614005027,Radial,0.22888329593,0.45776659186,252.805683223,0.100026957689,1.91617302455,1.38848580965
23,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,5968.42105263,122463.985131,9.81,0.389540626033,6.45704698143,0.795766357705,0.758357104021,Radial,0.198941589426,0.397883178852,248.681598679,0.134597586625,1.98025485432,1.50174033654
24,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,6663.15789474,122463.985131,9.81,0.434883979328,5.88294654137,0.725014229455,0.784252343022,Radial,0.181253557364,0.362507114727,252.944509762,0.159416678046,1.91407024977,1.50111407809
25,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,7357.89473684,122463.985131,9.81,0.480227332623,5.37418560469,0.662314540466,0.805395242593,Radial,0.165578635116,0.331157270233,255.162284875,0.189368182607,1.88094208202,1.51490180445
26,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,8052.63157895,122463.985131,9.81,0.525570685918,4.96682262509,0.612111133943,0.819163162489,Radial,0.153027783486,0.306055566972,258.087357685,0.219192042407,1.8385477988,1.50607062926
27,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,8747.36842105,122463.985131,9.81,0.570914039213,4.55945964548,0.561907727421,0.832931082384,Radial,0.140476931855,0.280953863711,257.359998528,0.260844100253,1.84895481095,1.54005193197
28,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,9442.10526316,122463.985131,9.81,0.616257392508,4.15209666588,0.511704320899,0.846699002279,Radial,0.127926080225,0.255852160449,252.980207404,0.319983334794,1.91353010494,1.62018403069
29,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,10136.8421053,122463.985131,9.81,0.661600745803,3.9736442733,0.489711851141,0.85,Mixed,0.122427962785,0.24485592557,259.921328636,0.340039153443,1.81269422512,1.54079009135
30,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,10831.5789474,122463.985131,9.81,0.706944099097,3.86738438521,0.47661638438,0.85,Mixed,0.119154096095,0.23830819219,270.308286521,0.345187275299,1.67606041353,1.4246513515
