,p_in,t_out,p_out,m_dot,V3,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type
31,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,11526.3157895,140133.627827,9.81,0.679959952744,2.95170595625,0.351715271355,0.886763938277,Radial
32,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,12221.0526316,140133.627827,9.81,0.720943840306,2.85637065067,0.340355439662,0.865463218078,Radial
33,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,12915.7894737,140133.627827,9.81,0.761927727869,2.7610353451,0.328995607969,0.844162497879,Radial
34,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,13610.5263158,140133.627827,9.81,0.802911615432,2.66570003952,0.317635776276,0.82286177768,Radial
35,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,14305.2631579,140133.627827,9.81,0.843895502994,2.57036473394,0.306275944583,0.801561057481,Radial
36,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,15000.0,140133.627827,9.81,0.884879390557,2.4886944854,0.296544394742,0.778696690487,Radial
37,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,2494.73684211,114788.737349,9.81,0.170922752029,8.82322219218,1.10511155953,0.747616734661,Radial
38,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,3189.47368421,114788.737349,9.81,0.218521493101,7.33541085075,0.91876268652,0.802164240975,Radial
39,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,3884.21052632,114788.737349,9.81,0.266120234172,6.71341197048,0.840857116692,0.817988520848,Radial
40,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,4578.94736842,114788.737349,9.81,0.313718975244,6.09141309022,0.762951546865,0.833812800721,Radial
41,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,5273.68421053,114788.737349,9.81,0.361317716315,5.46941420995,0.685045977038,0.849637080594,Radial
42,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,5968.42105263,114788.737349,9.81,0.408916457387,4.84741532968,0.60714040721,0.865461360467,Radial
43,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,6663.15789474,114788.737349,9.81,0.456515198458,4.22541644942,0.529234837383,0.88128564034,Radial
44,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,7357.89473684,114788.737349,9.81,0.50411393953,3.60341756915,0.451329267555,0.897109920213,Radial
45,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,8052.63157895,114788.737349,9.81,0.551712680601,3.3583248503,0.420631321742,0.9,Radial
46,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,8747.36842105,114788.737349,9.81,0.599311421673,3.19744985433,0.400481674162,0.9,Radial
47,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,9442.10526316,114788.737349,9.81,0.646910162744,3.03657485835,0.380332026582,0.9,Radial
48,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,10136.8421053,114788.737349,9.81,0.694508903816,2.91786268811,0.365463287165,0.879202353605,Radial
49,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,10831.5789474,114788.737349,9.81,0.742107644887,2.80714013847,0.351595250427,0.854463669071,Radial
50,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,11526.3157895,114788.737349,9.81,0.789706385959,2.69641758883,0.337727213689,0.829724984537,Radial
51,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,12221.0526316,114788.737349,9.81,0.83730512703,2.58569503919,0.323859176951,0.804986300004,Radial
52,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,12915.7894737,114788.737349,9.81,0.884903868102,2.48864635343,0.311703796284,0.778682960936,Radial
53,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,13610.5263158,114788.737349,9.81,0.932502609173,2.39504950345,0.299980759212,0.75198463984,Radial
54,31.1,20.0,1.01325,13.82,16.6472290221,5.0,1.98339290492,14305.2631579,114788.737349,9.81,0.980101350245,2.30145265347,0.288257722141,0.725286318744,Radial
55,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,1800.0,97187.6311995,9.81,0.13972169724,9.88840399707,1.29115142102,0.707839151163,Radial
56,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,2494.73684211,97187.6311995,9.81,0.193649369859,8.04735163389,1.05076102278,0.776590432648,Radial
57,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,3189.47368421,97187.6311995,9.81,0.247577042478,6.95572603617,0.908224983376,0.811823806225,Radial
58,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,3884.21052632,97187.6311995,9.81,0.301504715097,6.25102353292,0.81621037326,0.829752149816,Radial
59,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,4578.94736842,97187.6311995,9.81,0.355432387716,5.54632102968,0.724195763143,0.847680493407,Radial
60,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,5273.68421053,97187.6311995,9.81,0.409360060335,4.84161852644,0.632181153027,0.865608836998,Radial
61,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,5968.42105263,97187.6311995,9.81,0.463287732954,4.13691602319,0.540166542911,0.883537180589,Radial
62,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,6663.15789474,97187.6311995,9.81,0.517215405573,3.47491929916,0.453728123606,0.9,Radial
