,Nstg,RPM,H_ad,m_dot,V_in,p_in,t_in,p_out,t_out,PR_stg,H
0,1.0,8500.0,81681.158972,13.82,16.6472290221,1.01325,20.0,2.38582354781,101.586623514,2.35462476961,1.12883361699
1,2.0,8500.0,81681.158972,13.82,30.6441704443,2.38582354781,101.586623514,4.7424624226,183.173247029,1.98776746376,1.12883361699
2,3.0,8500.0,81681.158972,13.82,49.9677767865,4.7424624226,183.173247029,8.41702836741,264.759870543,1.77482236386,1.12883361699
3,4.0,8500.0,81681.158972,13.82,75.1128160312,8.41702836741,264.759870543,13.7740248079,346.346494058,1.63644747369,1.12883361699
4,5.0,8500.0,81681.158972,13.82,106.502482665,13.7740248079,346.346494058,21.2060871339,427.933117572,1.53957085381,1.12883361699
5,6.0,8500.0,81681.158972,13.82,144.495743493,21.2060871339,427.933117572,31.132,509.519741087,1.46806904091,1.12883361699
