,Nstg,RPM,H_ad,m_dot,V_in,p_in,t_in,p_out,t_out,PR_stg,H
0,1.0,10000.0,136639.733904,13.82,230.344464505,31.132,370.0,13.6113567735,239.363106804,0.437214338094,1.88836112255
1,2.0,10000.0,136639.733904,13.82,127.268387855,13.6113567735,239.363106804,4.65894508552,108.726213608,0.342283665254,1.88836112255
2,3.0,10000.0,136639.733904,13.82,58.6997730006,4.65894508552,108.726213608,1.01325,-21.9106795877,0.217484855777,1.88836112255
